Time stamp,MeanWindSpeedUID,DirectionUID
dd-mm-yyyy hh:nn,m/s,Degrees
01-01-2004 00:00,7.06,130.9
01-01-2004 01:00,6.96,129.9
01-01-2004 02:00,6.97,126.3
01-01-2004 03:00,6.89,125.6
01-01-2004 04:00,6.5,124.5
01-01-2004 05:00,6.26,119.1
01-01-2004 06:00,6.54,110.9
01-01-2004 07:00,7,105.2
01-01-2004 08:00,7.37,104.8
01-01-2004 09:00,7.54,107.8
01-01-2004 10:00,6.65,111.4
01-01-2004 11:00,6.18,119.2
01-01-2004 12:00,5.61,121.5
01-01-2004 13:00,5.59,123.2
01-01-2004 14:00,6.04,120.4
01-01-2004 15:00,6.49,115.4
01-01-2004 16:00,6.27,113
01-01-2004 17:00,6.34,108.4
01-01-2004 18:00,6.63,113.1
01-01-2004 19:00,7.2,115.6
01-01-2004 20:00,7.32,116.1
01-01-2004 21:00,7.14,119.3
01-01-2004 22:00,7.19,121.5
01-01-2004 23:00,6.99,123.6
01-02-2004 00:00,6.72,123.8
01-02-2004 01:00,6.86,119.6
01-02-2004 02:00,7.03,118.8
01-02-2004 03:00,7.47,115.2
01-02-2004 04:00,7.49,109.6
01-02-2004 05:00,7.74,105.6
01-02-2004 06:00,8.24,102.8
01-02-2004 07:00,8.58,101
01-02-2004 08:00,8.83,98.4
01-02-2004 09:00,8.19,96.8
01-02-2004 10:00,7.91,97.7
01-02-2004 11:00,7.8,99
01-02-2004 12:00,7.58,99.5
01-02-2004 13:00,7.25,98
01-02-2004 14:00,6.95,95.5
01-02-2004 15:00,6.91,89.7
01-02-2004 16:00,6.77,84.1
01-02-2004 17:00,6.95,74.5
01-02-2004 18:00,7.16,69.4
01-02-2004 19:00,7.37,67.9
01-02-2004 20:00,7.53,68.3
01-02-2004 21:00,7.51,67.6
01-02-2004 22:00,7.18,67.3
01-02-2004 23:00,6.84,65.2
01-03-2004 00:00,7.45,62.8
01-03-2004 01:00,7.4,55.8
01-03-2004 02:00,7.16,51.8
01-03-2004 03:00,6.85,48.5
01-03-2004 04:00,6.74,41.6
01-03-2004 05:00,6.65,36.4
01-03-2004 06:00,7.02,37.1
01-03-2004 07:00,6.9,35.4
01-03-2004 08:00,6.2,37.6
01-03-2004 09:00,5.6,31.6
01-03-2004 10:00,5.63,31.6
01-03-2004 11:00,5.61,30.5
01-03-2004 12:00,5.71,28.6
01-03-2004 13:00,5.72,25.7
01-03-2004 14:00,5.89,19.9
01-03-2004 15:00,6.38,23.9
01-03-2004 16:00,6.65,29.9
01-03-2004 17:00,6.87,29.5
01-03-2004 18:00,6.91,28
