id,x,y,model,rd,hh
56,582376,4897793,V90-3MW,90,90
57,582261,4896654,V90-3MW,90,90
58,583396,4896865,V90-3MW,90,90
59,582571,4896282,V90-3MW,90,90
60,582964,4895983,V90-3MW,90,90
61,583587,4896166,V90-3MW,90,90
62,582549,4895677,V90-3MW,90,90
63,584054,4895853,V90-3MW,90,90
64,583530,4895572,V90-3MW,90,90
65,582888,4894974,V90-3MW,90,90
66,583004,4894427,V90-3MW,90,90
67,584992,4895739,V90-3MW,90,90
68,584644,4895443,V90-3MW,90,90
69,584303,4895040,V90-3MW,90,90
70,584656,4894639,V90-3MW,90,90
71,584939,4894995,V90-3MW,90,90
72,581033,4896563,V90-3MW,90,90
73,583904,4894925,V90-3MW,90,90
74,584220,4894523,V90-3MW,90,90
75,584915,4894268,V90-3MW,90,90
76,585274,4893958,V90-3MW,90,90
77,585666,4894338,V90-3MW,90,90
78,581403,4894946,V90-3MW,90,90
79,581759,4894375,V90-3MW,90,90
80,585984,4893697,V90-3MW,90,90
81,586563,4893407,V90-3MW,90,90
82,584043,4896405,V90-3MW,90,90
83,584216,4896896,V90-3MW,90,90
84,583490,4894581,V90-3MW,90,90
85,580422,4895927,V90-3MW,90,90
86,596418,4885993,V90-3MW,90,90
87,597076,4885289,V90-3MW,90,90
88,597682,4885211,V90-3MW,90,90
89,598288,4885134,V90-3MW,90,90
90,598558,4884286,V90-3MW,90,90
91,598026,4883048,V90-3MW,90,90
92,597835,4889861,V90-3MW,90,90
93,597835,4889126,V90-3MW,90,90
94,597775,4888381,V90-3MW,90,90
95,598085,4887924,V90-3MW,90,90
96,598584,4887680,V90-3MW,90,90
97,599441,4885630,V90-3MW,90,90
98,599861,4884123,V90-3MW,90,90
