id,x,y,model,rd,hh
T1,594263,4892488,N163-7.0MW,163,138
T2,594973,4892211,N163-7.0MW,163,138
T4,589592,4888542,N163-7.0MW,163,138
T5,595825,4891207,N163-7.0MW,163,138
T6,594287,4890325,N163-7.0MW,163,138
T7,594511,4891930,N163-7.0MW,163,138
T8,595200,4891711,N163-7.0MW,163,138
T9,595317,4891214,N163-7.0MW,163,138
T10,593694,4892133,N163-7.0MW,163,138
T12,594574,4891298,N163-7.0MW,163,138
T13,593950,4891065,N163-7.0MW,163,138
T14,595525,4890507,N163-7.0MW,163,138
T15,593299,4891494,N163-7.0MW,163,138
T17,592529,4887677,N163-7.0MW,163,138
T18,594938,4890543,N163-7.0MW,163,138
T19,593323,4891095,N163-7.0MW,163,138
T20,594594,4889519,N163-7.0MW,163,138
T21,592848,4892533,N163-7.0MW,163,138
T22,594142,4887206,N163-7.0MW,163,138
T23,592616,4886859,N163-7.0MW,163,138
T24,591864,4887235,N163-7.0MW,163,138
T25,594607,4887833,N163-7.0MW,163,138
T26,593949,4888066,N163-7.0MW,163,138
T27,594708,4886878,N163-7.0MW,163,138
T28,592353,4892714,N163-7.0MW,163,138
T29,594327,4886570,N163-7.0MW,163,138
T30,592242,4885759,N163-7.0MW,163,138
T31,594851,4886206,N163-7.0MW,163,138
T32,592199,4890688,N163-7.0MW,163,138
T33,593164,4886646,N163-7.0MW,163,138
T34,594256,4888894,N163-7.0MW,163,138
T35,594779,4888335,N163-7.0MW,163,138
T36,591762,4888263,N163-7.0MW,163,138
T37,593503,4886033,N163-7.0MW,163,138
T38,591649,4889654,N163-7.0MW,163,138
T39,591524,4885612,N163-7.0MW,163,138
T40,591662,4890236,N163-7.0MW,163,138
T41,591948,4886497,N163-7.0MW,163,138
T42,593574,4892761,N163-7.0MW,163,138
T43,590897,4888559,N163-7.0MW,163,138
T44,590959,4887526,N163-7.0MW,163,138
T45,592465,4890254,N163-7.0MW,163,138
T46,591092,4886486,N163-7.0MW,163,138
T47,590598,4888060,N163-7.0MW,163,138
T48,590517,4886834,N163-7.0MW,163,138
T50,590204,4886155,N163-7.0MW,163,138
T51,589782,4886642,N163-7.0MW,163,138
T52,589750,4887800,N163-7.0MW,163,138
T54,596335,4893493,N163-7.0MW,163,138
T55,588995,4887933,N163-7.0MW,163,138
T56,596893,4892806,N163-7.0MW,163,138
T57,588577,4889086,N163-7.0MW,163,138
T3,595376,4892990,N163-7.0MW,163,138
T59,592851,4886103,N163-7.0MW,163,138
T60,589151,4887326,N163-7.0MW,163,138
